Title,Date,Day,Start Time,End Time,Time Zone,Price (£),Availability,Event Status,Address,Details,Instructions
IVE - 'ELEVEN',2022-01-08,Saturday,2pm,4pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
NCT U - 'UNIVERSE (LET'S PLAY BALL)',2022-01-09,Sunday,2pm,4pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
JENNIE - ‘SAD GIRLZ LUV MONEY (SILVERGUN CHOREOGRAPHY)’,2022-01-11,Tuesday,7pm,9pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
KAI - 'MMMH',2022-01-11,Tuesday,7pm,9pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
RAIN FT. JACKSON WANG - 'MAGNETIC' (HEMANSU CHOREOGRAPHY),2022-01-12,Wednesday,7pm,9pm,GMT,16.00,Only 3 spaces left,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
SWF CHOREOGRAPHY - 'RUN THE WORLD',2022-01-15,Saturday,2pm,4pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
IVE - ‘ELEVEN’,2022-01-15,Saturday,4:30pm,6:30pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
WAYV - 'MIRACLE',2022-01-16,Sunday,2pm,4pm,GMT,16.00,N/A,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
CHUNG HA - 'GOTTA GO',2022-01-18,Tuesday,7pm,9pm,GMT,16.00,Only 1 space left,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
ERIKA - 'CHOREOGRAPHY CLASS',2022-01-18,Tuesday,7pm,9pm,GMT,16.00,N/A,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
BOA - 'BETTER',2022-01-19,Wednesday,7pm,9pm,GMT,16.00,Only 1 space left,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
YGX CHOREOGRAPHY - 'PRETTY SAVAGE',2022-01-22,Saturday,2pm,4pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
KEP1ER - ‘WA DA DA’,2022-01-22,Saturday,4:30pm,6:30pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
KAI - 'PEACHES',2022-01-23,Sunday,2pm,4pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
PRISTIN V - 'GET IT',2022-01-25,Tuesday,7pm,9pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
SHANISE - 'CHOREOGRAPHY CLASS',2022-01-25,Tuesday,7pm,9pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
LISA - 'MUSHROOM CHOCOLATE (LILI'S FILM) (HEELS CHOREOGRAPHY)',2022-01-26,Wednesday,7pm,9pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
BLACKPINK - 'BBHMM',2022-01-29,Saturday,2pm,4pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
YGX CHOREOGRAPHY - ‘PRETTY SAVAGE’,2022-01-29,Saturday,4:30pm,6:30pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
BTS - 'ON',2022-01-30,Sunday,2pm,4pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
ERIKA - 'CHOREOGRAPHY CLASS',2022-02-01,Tuesday,7pm,9pm,GMT,16.00,N/A,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
EVERGLOW - 'PIRATE',2022-02-01,Tuesday,7pm,9pm,GMT,16.00,Only 1 space left,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
AESPA - 'DREAMS COME TRUE',2022-02-02,Wednesday,7pm,9pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
NCT X AESPA - 'ZOO',2022-02-05,Saturday,2pm,4pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
JENNIE - 'SAD GIRLZ LUV MONEY',2022-02-05,Saturday,4:30pm,6:30pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
ENHYPEN - 'BLESSED-CURSED',2022-02-06,Sunday,2pm,4pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
HYOLYN - 'LAYIN LOW (HEELS CHOREOGRAPHY)',2022-02-08,Tuesday,7pm,9pm,GMT,16.00,Only 4 spaces left,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
SHANISE - 'CHOREOGRAPHY CLASS',2022-02-08,Tuesday,7pm,9pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
NCT U - 'UNIVERSE',2022-02-09,Wednesday,7pm,9pm,GMT,16.00,Only 2 spaces left,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
ITZY - 'WEAPON',2022-02-12,Saturday,2pm,4pm,GMT,16.00,Fully booked,Confirmed,N/A,"Terms and Conditions:

Cancellation Policy - No refunds. Please only book if you're 100% sure you will be able to attend.
No Ticket Transfer or Class Reschedule. All bookings are final, we will not readjust your booking. We advice you that you plan your schedule accordingly as we will not reply to any request regarding this matter. 
We don't offer any class credit.

COVID-19 Regulation.
If you're unable to attend class due to COVID-19, please contact us with your results. 
We'd like to ask for your understanding first before you ask for ours.
To avoid any disappointment, please make sure you respect our business terms before going ahead with this booking. 
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.","Facemasks are mandatory during the session unless you are an exempt.
Maximum social distancing is encouraged and implemented during the session.
Please wear comfortable dance attire and suitable indoor dance shoes.
If you're not feeling well, please let the instructor know immediately."
